step,epoch,epoch_step,loss,learn_rate
500,20,19,0.0611802,1e-05
1000,41,15,0.2269823,1e-05
1500,62,11,0.0460727,1e-05
2000,83,7,0.0322969,1e-05
2500,104,3,0.0241464,1e-05
3000,124,23,0.0427683,1e-05
3500,145,19,0.1187693,1e-05
4000,166,15,0.0289226,1e-05
4500,187,11,0.0835058,1e-05
5000,208,7,0.0052324,1e-05
5500,229,3,0.0581039,1e-05
6000,249,23,0.0151550,1e-05
6500,270,19,0.0312077,1e-05
7000,291,15,0.0390948,1e-05
7500,312,11,0.0273037,1e-05
8000,333,7,0.0398644,1e-05
8500,354,3,0.0339334,1e-05
9000,374,23,0.0202874,1e-05
9500,395,19,0.0029786,1e-05
10000,416,15,0.1020980,1e-05
10500,437,11,0.0345954,1e-05
11000,458,7,0.0088808,1e-05
11500,479,3,0.0034143,1e-05
12000,499,23,0.3282456,1e-05
12500,520,19,0.0647029,1e-05
13000,541,15,0.0192765,1e-05
13500,562,11,0.0609839,1e-05
14000,583,7,0.0430131,1e-05
14500,604,3,0.0326525,1e-05
15000,624,23,0.0216352,1e-05
15500,645,19,0.0380851,1e-05
16000,666,15,0.0152406,1e-05
16500,687,11,0.0220565,1e-05
17000,708,7,0.0162132,1e-05
17500,729,3,0.0526546,1e-05
18000,749,23,0.0040153,1e-05
18500,770,19,0.0024973,1e-05
19000,791,15,0.0196807,1e-05
19500,812,11,0.0098328,1e-05
20000,833,7,0.0145357,1e-05
20500,854,3,0.0246308,1e-05
21000,874,23,0.0082965,1e-05
21500,895,19,0.0100725,1e-05
22000,916,15,0.0271216,1e-05
22500,937,11,0.1263516,1e-05
23000,958,7,0.0168990,1e-05
23500,979,3,0.0148031,1e-05
24000,999,23,0.0186949,1e-05
24500,1020,19,0.0199977,1e-05
25000,1041,15,0.0160316,1e-05
25500,1062,11,0.0133843,1e-05
26000,1083,7,0.0679320,1e-05
26500,1104,3,0.0144478,1e-05
27000,1124,23,0.0235440,1e-05
27500,1145,19,0.0736110,1e-05
28000,1166,15,0.0046405,1e-05
28500,1187,11,0.0221226,1e-05
29000,1208,7,0.0532199,1e-05
29500,1229,3,0.0424067,1e-05
30000,1249,23,0.0052662,1e-05
30500,1270,19,0.0179206,1e-05
31000,1291,15,0.0032728,1e-05
31500,1312,11,0.0143125,1e-05
32000,1333,7,0.0328326,1e-05
32500,1354,3,0.1018419,1e-05
33000,1374,23,0.0152285,1e-05
33500,1395,19,0.0105456,1e-05
34000,1416,15,0.0236519,1e-05
34500,1437,11,0.0278836,1e-05
35000,1458,7,0.0202344,1e-05
35500,1479,3,0.0151834,1e-05
36000,1499,23,0.0183128,1e-05
36500,1520,19,0.0127032,1e-05
37000,1541,15,0.0896020,1e-05
37500,1562,11,0.0333731,1e-05
38000,1583,7,0.0191201,1e-05
38500,1604,3,0.0167741,1e-05
39000,1624,23,0.0073067,1e-05
39500,1645,19,0.0068851,1e-05
40000,1666,15,0.0309445,1e-05
40500,1687,11,0.0276844,1e-05
41000,1708,7,0.2214643,1e-05
41500,1729,3,0.0312057,1e-05
42000,1749,23,0.0164688,1e-05
42500,1770,19,0.0180148,1e-05
43000,1791,15,0.0484401,1e-05
43500,1812,11,0.0185100,1e-05
44000,1833,7,0.0103294,1e-05
44500,1854,3,0.0485779,1e-05
45000,1874,23,0.0428419,1e-05
45500,1895,19,0.0049517,1e-05
46000,1916,15,0.0152516,1e-05
46500,1937,11,0.0057535,1e-05
47000,1958,7,0.0203080,1e-05
47500,1979,3,0.0381239,1e-05
48000,1999,23,0.1461049,1e-05
48500,2020,19,0.0477884,1e-05
49000,2041,15,0.0098413,1e-05
49500,2062,11,0.0890392,1e-05
50000,2083,7,0.0940416,1e-05
50500,2104,3,0.1290124,1e-05
51000,2124,23,0.0481746,1e-05
51500,2145,19,0.0072813,1e-05
52000,2166,15,0.0145659,1e-05
52500,2187,11,0.0058199,1e-05
53000,2208,7,0.0236815,1e-05
53500,2229,3,0.0345335,1e-05
54000,2249,23,0.0200332,1e-05
54500,2270,19,0.0356449,1e-05
55000,2291,15,0.0444625,1e-05
55500,2312,11,0.0040801,1e-05
56000,2333,7,0.0647491,1e-05
56500,2354,3,0.0086132,1e-05
57000,2374,23,0.0474046,1e-05
57500,2395,19,0.0580374,1e-05
58000,2416,15,0.0072551,1e-05
58500,2437,11,0.0138388,1e-05
59000,2458,7,0.0118375,1e-05
59500,2479,3,0.0150469,1e-05
60000,2499,23,0.0106634,1e-05
60500,2520,19,0.0225874,1e-05
61000,2541,15,0.0119209,1e-05
61500,2562,11,0.0114636,1e-05
62000,2583,7,0.0136207,1e-05
62500,2604,3,0.0346997,1e-05
63000,2624,23,0.0042913,1e-05
63500,2645,19,0.0038473,1e-05
64000,2666,15,0.0147988,1e-05
64500,2687,11,0.0130188,1e-05
65000,2708,7,0.0475840,1e-05
65500,2729,3,0.0147441,1e-05
66000,2749,23,0.0030062,1e-05
66500,2770,19,0.0278600,1e-05
67000,2791,15,0.0095133,1e-05
67500,2812,11,0.0143697,1e-05
68000,2833,7,0.0131450,1e-05
68500,2854,3,0.0042165,1e-05
69000,2874,23,0.0020047,1e-05
69500,2895,19,0.0066773,1e-05
70000,2916,15,0.0364601,1e-05
70500,2937,11,0.0239321,1e-05
71000,2958,7,0.0048107,1e-05
